SEMANA,PRODUCTO,PRESENTACION,"PRESENTACION 1",Cantidad,"PRESENTACION 1_extracted","Tipo Unidad",LUNES,MARTES,MIERCOLES,JUEVES,VIERNES
"31 De enero al 5 de febrero",Espinaca,Docena,"12 und","12 "," und"," und","$   38,000","$   42,000","$   43,000","$   40,000","$   40,000"
"31 De enero al 5 de febrero",Cilantro,Atado,"9 kg","9 "," kg"," kg","$   30,000","$   28,000","$   30,000","$   33,000","$   30,000"
"31 De enero al 5 de febrero","Perejil Crespo",Atado,"5 kg","5 "," kg"," kg","$   - 0","$   - 0","$   - 0","$   - 0","$   - 0"
"31 De enero al 5 de febrero",Acelga,Atado,"6 kg","6 "," kg"," kg","$   10,000","$   12,000","$   12,000","$   10,000","$   10,000"
"31 De enero al 5 de febrero","Lechuga Batavia",Docena,"12 und","12 "," und"," und","$   16,000","$   14,000","$   14,000","$   12,000","$   12,000"
"31 De enero al 5 de febrero","Rabano Rojo",Docena,"12 atados ( 4 kg )","12 ",,atado,"$   8,000","$   7,000","$   7,000","$   7,500","$   7,000"
"31 De enero al 5 de febrero",Brocoli,Docena,"36 und","36 "," und"," und","$   54,000","$   58,000","$   54,000","$   54,000","$   54,000"
"31 De enero al 5 de febrero",Coliflor,Docena,"12 und","12 "," und"," und","$   24,000","$   24,000","$   30,000","$   30,000","$   32,000"
"31 De enero al 5 de febrero",Apio,Atado,"12 und","12 "," und"," und","$   16,000","$   14,000","$   14,000","$   16,000","$   16,000"
"31 De enero al 5 de febrero","Perejil Liso",Atado,"6 kg","6 "," kg"," kg","$   - 0","$   - 0","$   - 0","$   - 0","$   - 0"
"7 De febrero al 12 de febrero",Espinaca,Docena,"12 und","12 "," und"," und","$   25,000","$   25,000","$   20,000","$   12,000","$   12,000"
"7 De febrero al 12 de febrero",Cilantro,Atado,"9 kg","9 "," kg"," kg","$   25,000","$   25,000","$   20,000","$   20,000","$   15,000"
"7 De febrero al 12 de febrero","Perejil Crespo",Atado,"5 kg","5 "," kg"," kg","$   - 0","$   - 0","$   - 0","$   - 0","$   - 0"
"7 De febrero al 12 de febrero",Acelga,Atado,"6 kg","6 "," kg"," kg","$   14,000","$   12,000","$   12,000","$   10,000","$   10,000"
"7 De febrero al 12 de febrero","Lechuga Batavia",Docena,"12 und","12 "," und"," und","$   16,000","$   14,000","$   14,000","$   9,000","$   9,000"
"7 De febrero al 12 de febrero","Rabano Rojo",Docena,"12 atados ( 4 kg )","12 ",,atado,"$   8,000","$   7,000","$   7,000","$   7,500","$   7,000"
"7 De febrero al 12 de febrero",Brocoli,Docena,"36 und","36 "," und"," und","$   54,000","$   58,000","$   50,000","$   50,000","$   40,000"
"7 De febrero al 12 de febrero",Coliflor,Docena,"12 und","12 "," und"," und","$   30,000","$   30,000","$   24,000","$   24,000","$   24,000"
"7 De febrero al 12 de febrero",Apio,Atado,"12 und","12 "," und"," und","$   14,000","$   14,000","$   12,000","$   12,000","$   10,000"
"7 De febrero al 12 de febrero","Perejil Liso",Atado,"6 kg","6 "," kg"," kg","$   - 0","$   - 0","$   - 0","$   - 0","$   - 0"
"14 De febrero al 19 de febrero",Espinaca,Docena,"12 und","12 "," und"," und","$   18,000","$   18,000","$   22,000","$   28,000","$   24,000"
"14 De febrero al 19 de febrero",Cilantro,Atado,"9 kg","9 "," kg"," kg","$   18,000","$   23,000","$   18,000","$   28,000","$   18,000"
"14 De febrero al 19 de febrero","Perejil Crespo",Atado,"5 kg","5 "," kg"," kg","$   - 0","$   - 0","$   - 0","$   - 0","$   - 0"
"14 De febrero al 19 de febrero",Acelga,Atado,"6 kg","6 "," kg"," kg","$   12,000","$   14,000","$   10,000","$   10,000","$   12,000"
"14 De febrero al 19 de febrero","Lechuga Batavia",Docena,"12 und","12 "," und"," und","$   12,000","$   14,000","$   13,000","$   10,000","$   12,000"
"14 De febrero al 19 de febrero","Rabano Rojo",Docena,"12 atados ( 4 kg )","12 ",,atado,"$   7,000","$   7,000","$   7,000","$   7,000","$   7,000"
"14 De febrero al 19 de febrero",Brocoli,Docena,"36 und","36 "," und"," und","$   58,000","$   48,000","$   38,000","$   48,000","$   48,000"
"14 De febrero al 19 de febrero",Coliflor,Docena,"12 und","12 "," und"," und","$   28,000","$   28,000","$   28,000","$   28,000","$   22,000"
"14 De febrero al 19 de febrero",Apio,Atado,"12 und","12 "," und"," und","$   18,000","$   18,000","$   13,000","$   16,000","$   16,000"
"14 De febrero al 19 de febrero","Perejil Liso",Atado,"6 kg","6 "," kg"," kg","$   - 0","$   - 0","$   - 0","$   - 0","$   - 0"
"21 De febrero al 26 de febrero",Espinaca,Docena,"12 und","12 "," und"," und","$   23,000","$   18,000","$   28,000","$   22,000","$   22,000"
"21 De febrero al 26 de febrero",Cilantro,Atado,"9 kg","9 "," kg"," kg","$   48,000","$   28,000","$   48,000","$   48,000","$   78,000"
"21 De febrero al 26 de febrero","Perejil Crespo",Atado,"5 kg","5 "," kg"," kg","$   4,000","$   4,000","$   4,000","$   4,000","$   4,000"
